TransactionID,CustomerID,Date,Amount,Category
TXN01952,CUST0223,2024-12-23,3276.36,Beauty
TXN01371,CUST0149,2025-01-03,3278.85,Groceries
TXN00631,CUST0067,2025-01-09,4801.81,Sports
TXN01133,CUST0124,2025-02-02,6015.31,Clothing
TXN00057,CUST0007,2025-02-10,7923.66,Electronics
TXN02070,CUST0238,2025-02-12,3884.66,Clothing
TXN01949,CUST0223,2025-02-17,4977.94,Beauty
TXN00507,CUST0057,2025-02-23,4702.11,Groceries
TXN00630,CUST0067,2025-03-07,3657.02,Sports
TXN00270,CUST0030,2025-03-08,6928.64,Groceries
TXN00413,CUST0043,2025-03-14,3044.66,Beauty
TXN02624,CUST0300,2025-03-17,3736.11,Beauty
TXN02065,CUST0238,2025-03-21,6776.41,Home & Living
TXN01942,CUST0223,2025-03-23,7977.78,Sports
TXN02071,CUST0238,2025-03-24,2570.24,Home & Living
TXN02132,CUST0245,2025-04-02,6033.2,Home & Living
TXN00052,CUST0007,2025-04-06,3678.58,Beauty
TXN00271,CUST0030,2025-04-08,7709.3,Beauty
TXN00750,CUST0080,2025-04-10,4079.15,Home & Living
TXN02620,CUST0300,2025-04-13,6658.42,Home & Living
TXN01370,CUST0149,2025-04-13,5204.84,Sports
TXN02130,CUST0245,2025-04-19,2217.24,Sports
TXN00747,CUST0080,2025-04-24,7647.63,Electronics
TXN01363,CUST0149,2025-04-29,4429.81,Electronics
TXN02622,CUST0300,2025-04-29,6721.57,Electronics
TXN01174,CUST0129,2025-04-30,3836.28,Home & Living
TXN01173,CUST0129,2025-05-02,6016.14,Clothing
TXN00382,CUST0041,2025-05-09,6588.86,Beauty
TXN02285,CUST0263,2025-05-15,4974.3,Electronics
TXN00629,CUST0067,2025-05-16,2616.49,Electronics
TXN01134,CUST0124,2025-05-25,5562.68,Electronics
TXN01053,CUST0110,2025-05-25,7973.41,Sports
TXN00843,CUST0091,2025-05-27,6702.63,Electronics
TXN00053,CUST0007,2025-05-28,2975.7,Sports
TXN00964,CUST0101,2025-05-28,7568.61,Sports
TXN00625,CUST0067,2025-05-28,3451.59,Home & Living
TXN01130,CUST0124,2025-05-29,5796.82,Clothing
TXN02133,CUST0245,2025-05-29,2633.59,Clothing
TXN00657,CUST0069,2025-05-30,5127.78,Groceries
TXN01054,CUST0110,2025-05-31,3909.82,Groceries
TXN02533,CUST0292,2025-06-04,2285.5,Beauty
TXN01224,CUST0133,2025-06-07,2693.35,Home & Living
TXN00056,CUST0007,2025-06-10,2989.01,Electronics
TXN02126,CUST0245,2025-06-14,5121.1,Home & Living
TXN02283,CUST0263,2025-06-15,4559.55,Groceries
TXN01227,CUST0133,2025-06-15,7715.1,Sports
TXN01126,CUST0124,2025-06-16,4005.16,Home & Living
TXN00047,CUST0007,2025-06-20,2997.29,Electronics
TXN00310,CUST0033,2025-06-20,7638.92,Home & Living
TXN01946,CUST0223,2025-06-20,2120.28,Sports
TXN00051,CUST0007,2025-06-20,3595.63,Beauty
TXN01128,CUST0124,2025-06-21,7743.18,Clothing
TXN01944,CUST0223,2025-06-21,7006.57,Clothing
TXN02254,CUST0260,2025-06-23,2477.12,Electronics
TXN01223,CUST0133,2025-06-23,3012.86,Beauty
TXN00378,CUST0041,2025-06-23,4417.88,Groceries
TXN01131,CUST0124,2025-06-28,2066.47,Sports
TXN01226,CUST0133,2025-06-29,5635.56,Home & Living
TXN02617,CUST0300,2025-07-02,4603.61,Beauty
TXN01367,CUST0149,2025-07-05,4083.15,Electronics
TXN00260,CUST0030,2025-07-05,2069.72,Groceries
TXN00689,CUST0073,2025-07-08,2976.2,Groceries
TXN00376,CUST0041,2025-07-08,5767.7,Sports
TXN00537,CUST0059,2025-07-11,3424.6,Home & Living
TXN01217,CUST0133,2025-07-11,3980.94,Groceries
TXN01047,CUST0110,2025-07-15,2889.3,Sports
TXN00753,CUST0080,2025-07-16,5572.16,Clothing
TXN00377,CUST0041,2025-07-17,6835.55,Home & Living
TXN00746,CUST0080,2025-07-19,2697.15,Clothing
TXN01225,CUST0133,2025-07-19,2086.29,Clothing
TXN01366,CUST0149,2025-07-19,7218.09,Sports
TXN00966,CUST0101,2025-07-20,5970.67,Electronics
TXN00917,CUST0099,2025-07-21,7489.8,Clothing
TXN00943,CUST0100,2025-07-22,2091.06,Clothing
TXN00748,CUST0080,2025-07-23,3076.19,Sports
TXN01361,CUST0149,2025-07-23,7772.35,Home & Living
TXN02274,CUST0263,2025-07-27,3057.17,Electronics
TXN01365,CUST0149,2025-07-27,5062.76,Home & Living
TXN00626,CUST0067,2025-07-28,5315.01,Home & Living
TXN00847,CUST0091,2025-07-28,2034.31,Clothing
TXN00349,CUST0038,2025-07-28,3070.68,Beauty
TXN01710,CUST0191,2025-07-31,7454.38,Home & Living
TXN00937,CUST0100,2025-08-01,7373.38,Home & Living
TXN00623,CUST0067,2025-08-01,6318.75,Sports
TXN01618,CUST0180,2025-08-01,2223.33,Home & Living
TXN02068,CUST0238,2025-08-02,2682.57,Home & Living
TXN01449,CUST0161,2025-08-04,1068.12,Clothing
TXN02550,CUST0294,2025-08-06,1325.34,Clothing
TXN00265,CUST0030,2025-08-07,4894.14,Home & Living
TXN00264,CUST0030,2025-08-07,2616.75,Sports
TXN02614,CUST0300,2025-08-09,5478.93,Electronics
TXN00632,CUST0067,2025-08-10,6960.29,Clothing
TXN02536,CUST0292,2025-08-13,4626.66,Groceries
TXN02616,CUST0300,2025-08-13,2735.11,Electronics
TXN01848,CUST0209,2025-08-13,7976.98,Sports
TXN02417,CUST0284,2025-08-13,7597.08,Beauty
TXN01218,CUST0133,2025-08-13,6253.39,Groceries
TXN00654,CUST0069,2025-08-16,3981.46,Home & Living
TXN02281,CUST0263,2025-08-17,6464.3,Sports
TXN01342,CUST0148,2025-08-18,1934.52,Electronics
TXN02278,CUST0263,2025-08-18,4257.21,Home & Living
TXN00261,CUST0030,2025-08-18,4879.63,Sports
TXN02336,CUST0274,2025-08-18,315.28,Sports
TXN00142,CUST0019,2025-08-20,1674.14,Clothing
TXN02168,CUST0252,2025-08-20,2069.07,Beauty
TXN02531,CUST0292,2025-08-21,4825.52,Electronics
TXN00307,CUST0033,2025-08-23,2104.28,Electronics
TXN02328,CUST0271,2025-08-25,999.15,Beauty
TXN01802,CUST0206,2025-08-26,4674.15,Beauty
TXN00348,CUST0038,2025-08-26,6421.24,Groceries
TXN01450,CUST0161,2025-08-26,1020.81,Home & Living
TXN00863,CUST0094,2025-08-27,538.29,Electronics
TXN00505,CUST0057,2025-08-29,4011.25,Groceries
TXN00519,CUST0058,2025-08-29,1458.14,Electronics
TXN02258,CUST0261,2025-08-29,740.59,Clothing
TXN01740,CUST0196,2025-08-30,1822.93,Beauty
TXN00784,CUST0084,2025-08-30,3686.23,Clothing
TXN00045,CUST0007,2025-08-31,7346.86,Sports
TXN02248,CUST0260,2025-08-31,6827.85,Groceries
TXN02451,CUST0286,2025-08-31,7864.21,Clothing
TXN02413,CUST0284,2025-09-01,4818.8,Home & Living
TXN01943,CUST0223,2025-09-01,7408.68,Electronics
TXN01369,CUST0149,2025-09-01,7654.23,Electronics
TXN02090,CUST0240,2025-09-01,708.96,Sports
TXN02279,CUST0263,2025-09-02,5440.41,Home & Living
TXN01617,CUST0180,2025-09-02,4024.86,Groceries
TXN01843,CUST0209,2025-09-02,5923.97,Clothing
TXN00941,CUST0100,2025-09-02,5576.49,Sports
TXN00686,CUST0073,2025-09-02,7760.81,Beauty
TXN00303,CUST0033,2025-09-02,7920.16,Electronics
TXN00078,CUST0011,2025-09-02,2245.21,Beauty
TXN00658,CUST0069,2025-09-03,6620.95,Sports
TXN00718,CUST0078,2025-09-03,7411.64,Sports
TXN00912,CUST0099,2025-09-03,4042.47,Clothing
TXN02247,CUST0260,2025-09-03,6610.53,Electronics
TXN00690,CUST0073,2025-09-03,2072.62,Groceries
TXN02129,CUST0245,2025-09-04,7252.23,Beauty
TXN00218,CUST0027,2025-09-05,1892.04,Clothing
TXN01842,CUST0209,2025-09-05,4760.38,Groceries
TXN01426,CUST0157,2025-09-06,223.75,Electronics
TXN01983,CUST0227,2025-09-06,444.5,Electronics
TXN02398,CUST0283,2025-09-09,2377.52,Groceries
TXN00738,CUST0080,2025-09-09,5009.09,Sports
TXN02385,CUST0282,2025-09-09,704.15,Groceries
TXN02124,CUST0245,2025-09-09,7909.7,Home & Living
TXN00504,CUST0057,2025-09-09,3884.36,Groceries
TXN02610,CUST0300,2025-09-10,7813.54,Beauty
TXN02275,CUST0263,2025-09-10,3893.92,Sports
TXN01170,CUST0129,2025-09-11,6852.96,Groceries
TXN01121,CUST0124,2025-09-12,6065.27,Beauty
TXN02412,CUST0284,2025-09-13,3361.32,Electronics
TXN01079,CUST0116,2025-09-13,1150.02,Electronics
TXN01320,CUST0146,2025-09-13,3515.18,Electronics
TXN02415,CUST0284,2025-09-13,6071.28,Electronics
TXN01947,CUST0223,2025-09-14,2840.99,Electronics
